"","NA.","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H"
"36",NA,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,0,0,2,1,2,2,1,0,2,1,1,0,1,1,2,0,2,1,2,2,1,1,0,2,0,2,1,1,1,0,1,2,0,2,2,0,2,2,0,1,0,1,2,2,2,0,1,1,0,1,1,1,1,0,0,0,2,1,2,2,1,2,2,2,2,0,1,1,1,1,1,0,1,1,2,2,1,2,2,0
"37",NA,0,0,1,1,2,1,1,1,2,1,1,1,2,0,2,2,1,2,1,2,0,1,0,2,2,0,1,2,2,2,3,0,1,2,2,1,0,1,0,2,2,1,1,2,2,2,0,2,2,0,1,2,0,2,1,2,0,2,1,0,1,2,1,2,1,1,2,1,0,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,2,1,1,0,0,2,2,2,1,2,1
"38",NA,1,0,0,2,1,2,1,1,1,1,1,2,3,1,1,2,0,2,1,1,2,1,1,2,3,2,0,1,2,2,2,1,1,2,0,1,2,2,1,2,1,2,1,2,0,1,1,2,1,1,0,2,0,1,1,1,2,2,2,2,0,2,1,2,1,1,1,0,1,2,2,2,0,1,1,0,2,1,0,0,1,2,1,2,2,2,2,2,1,2,2,2,1,0,2,2,2,1,1,1
"39",NA,1,0,0,1,2,1,2,2,1,1,1,1,2,0,3,1,2,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,1,2,2,0,2,1,1,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,0,2,2,1,2,1,1,1,1,2,2,1,0,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,0,1,1
"40",NA,1,1,1,2,1,2,1,2,2,0,2,1,1,0,1,2,1,2,2,1,1,0,2,0,1,1,1,1,1,1,2,0,2,1,1,1,1,1,1,1,2,1,0,2,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,0,1,1,2,1,1,1,2,2,1,1,1,1,0,2,1,2,0,2,1,2,2,1,0,1,1,1,1,1,1,1,0,2,1,0,1,2,1
"41",NA,0,1,1,2,0,1,2,1,1,1,0,1,2,1,1,2,1,2,1,2,0,1,1,1,1,0,1,0,1,1,2,2,2,1,2,1,2,1,0,3,2,1,1,2,0,2,1,1,1,1,2,2,1,1,2,0,1,1,1,1,0,1,1,2,1,2,1,1,1,1,2,0,1,1,0,1,1,1,1,0,1,1,1,2,1,1,1,1,0,2,0,1,1,1,1,2,2,1,1,1
"42",NA,1,0,1,2,2,2,1,1,1,2,0,1,2,1,2,1,2,2,1,1,1,0,2,0,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,2,1,2,2,1,0,1,0,2,1,1,1,0,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,1,1,0,2,1,0,1,1,1,1,2,0
"43",NA,1,1,0,2,0,2,2,1,2,1,2,0,3,1,1,2,0,2,1,1,2,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,2,1,1,1,1,1,1,1,0,1,2,2,1,2,2,1,1,1,0,0,1,0,1,1,0,1,0,1,1,2,2,1,1,1,0,1,2,2,2,1,2,0,1,2,1,2,0,2,0,1,2,2,2,0,1,1,1,0,1,0
"44",NA,0,0,1,2,0,1,0,1,1,1,1,1,2,0,1,0,0,1,1,2,1,2,3,2,1,1,1,2,1,2,0,1,1,2,0,1,1,2,0,2,2,1,1,1,1,0,0,1,2,1,1,3,1,1,1,1,1,1,2,0,1,1,1,2,0,1,1,1,1,1,2,1,1,1,2,1,1,0,1,1,1,0,0,1,2,1,0,1,1,2,1,1,2,1,2,1,0,1,1,1
"45",NA,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,2,0,1,2,1,2,1,1,2,0,0,1,1,2,0,2,1,2,1,1,2,1,1,1,1,1,0,1,2,1,2,1,0,1,2,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,2,2,1,0,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,0,2,0,1,1,2,0,2,1
"46",NA,1,1,1,1,2,1,0,1,1,2,2,0,2,1,2,1,2,1,1,2,0,1,1,0,2,0,2,1,1,1,2,1,0,2,1,1,2,2,2,1,1,0,0,2,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,2,0,1,0,2,1,2,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,2,2,2,2,0,2,1,2,1,1,1,1,2,1,0,1
"47",NA,0,1,1,1,0,0,1,1,1,1,1,1,2,0,1,1,0,1,0,1,1,0,2,1,1,0,0,1,2,2,1,1,2,0,0,1,1,2,2,0,2,1,0,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,0,2,1,0,1,1,1,1,2,2,1,1,1,1,2,1,0,0,2,1,1,1,2,0,1,1,2,0
"48",NA,1,1,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,2,1,0,2,1,1,1,1,0,1,2,1,0,1,1,1,0,1,1,1,1,1,1,2,2,0,2,1,0,0,1,1,1,0,0,0,1,1,0,2,2,1,1,0,2,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,2,1,0,2,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0
"49",NA,1,0,0,2,1,1,0,1,1,1,1,1,2,1,0,1,2,2,1,0,1,1,2,1,0,0,1,0,2,1,1,1,0,1,0,1,0,1,2,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,2,0,0,0,2,1,0,2,1,2,1,1,0,1,0,1,2,2,0,0,1,0,0,2,1,1,1,2,1,1,2,1,1,1,1,1,1,0,2,1,1,1,0,1,1,0
"50",NA,2,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,2,2,1,1,0,1,1,1,0,1,2,1,0,1,1,1,1,0,1,1,1,2,2,1,1,1,0,2,0,0,0,1,1,1,1,1,0,2,2,1,1,0,0,0,1,1,0,2,1,2,2,1,1,1,0,2,0,0,1,1,2,1,0,0,2,0,0,1,1,0,1,1,1,2,1,0,1,1,0,1,1,1,1,1
"51",NA,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,2,1,1,1,2,1,1,1,1,2,0,1,1,2,1,1,2,1,2,0,1,2,0,1,2,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,2,1,0,2,1,1,1,0,1,0,1,0,0,1,0,1,1,1,2,0,1,1,0,0,1,1,2,1,1,0,1,2,0,2,2,1,1,1,1,1,2,0
"52",NA,1,1,1,1,1,2,0,1,1,1,1,1,2,0,0,0,2,1,0,1,1,2,0,1,1,1,0,0,1,1,2,0,0,1,2,0,1,0,1,0,2,1,0,1,0,1,0,1,1,1,2,0,1,1,1,1,1,1,0,2,0,2,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,2,0,2,1,0,2,0,0,0,1,0,1,2,1,1,2,1,2,1,1,1
"53",NA,1,2,1,1,1,0,2,0,0,0,0,1,1,1,1,2,2,1,2,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,2,0,0,0,1,1,1,1,0,1,2,1,2,0,0,1,0,2,2,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,2,1,1,1,1,0,2,1,1,0
"54",NA,0,1,1,1,1,2,0,1,1,1,0,1,2,1,1,1,1,2,0,0,1,1,1,0,1,1,2,0,1,1,1,0,0,1,1,0,0,0,1,1,2,1,1,2,1,1,2,1,1,1,1,0,0,1,1,1,0,1,0,1,0,2,0,2,2,2,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,1,1,1,1,0,0,1,2,1,1,0
"55",NA,1,0,0,1,0,1,0,0,1,2,1,1,1,0,1,0,0,1,1,0,1,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2,0,1,1,1,2,2,1,0,1,1,1,0,1,2,1,1,0,1,2,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,3,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,0,0,1
"56",NA,2,1,0,0,1,1,1,1,2,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,2,0,1,0,0,1,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,2,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,2,0,2,1,1,1,1,1,0,1,2,0,2,1,1,0,0,1,1,0,1,2
"57",NA,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,2,0,1,0,1,1,2,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,2,0,1,1,1,0,0,1,0,0,0,1,2,0,0,1,1,2,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1
"58",NA,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,2,2,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,2,2,1,0,2,1,1,0,0,2,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1,0,0,1,0,0,0,0,2,1,1,0,0,1,1,1,1,2,0,1,0,1,0,0,2,0,1
"59",NA,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,2,0,0,1,1,0,1,1,1,1,1,0,0,2,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,2,0,1,1,1,1,1,2,1,2,1,1,1,0,2,0,1,2,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,1,0,0,1,1,0,0,1
"60",NA,2,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,2,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,2,0,0,0,0,1,0,0,1,1,0,1,2,1,0,1,0,0,0,0,0,2,1,1,1,0,0,0,1,1,1,0,1,1,1,2,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,2,1,0,0,1
"61",NA,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,2,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,2
"62",NA,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,2,0,1,1,1,2,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,2,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0
"63",NA,1,1,1,0,2,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,2,1,1,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1,1,1,0,1,0,2,0,1,1,0,0,2,1,0,0,0,1,1,1,0,1,0,1,0,1,2,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,2,0,0,1,0,1,1,2,0,0,0,1,1,0,1,0,0,0,1
"64",NA,1,0,1,1,1,0,1,0,1,1,1,0,2,0,1,0,1,2,0,0,1,1,1,1,1,1,0,2,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,2,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,2,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1
