"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"15",NA,8,1,2,2,4,7,4,2,9,2,3,3,4,3,0,1,5,3,1,3
"16",NA,5,4,4,1,2,3,2,4,7,5,1,3,3,1,2,3,7,2,0,3
"17",NA,7,5,3,2,4,1,3,4,5,8,0,5,5,4,7,5,9,2,3,4
"18",NA,7,7,5,2,4,5,2,7,12,9,5,9,6,5,11,3,8,0,5,4
"19",NA,11,8,8,4,5,4,7,7,8,15,4,7,9,6,10,9,12,2,5,2
"20",NA,19,6,6,5,9,7,4,8,12,13,3,9,8,2,10,7,9,2,5,3
"21",NA,11,10,8,7,9,5,5,9,6,14,6,12,12,3,15,17,15,4,6,13
"22",NA,14,10,13,7,7,10,9,12,10,17,4,11,13,5,14,13,12,5,12,12
"23",NA,18,14,10,8,14,8,9,10,21,23,7,9,11,6,13,17,20,5,9,17
"24",NA,23,13,19,8,22,8,14,14,19,22,8,13,12,10,20,15,21,9,11,14
"25",NA,16,19,16,8,19,15,14,15,17,20,11,12,18,7,18,17,19,9,17,20
"26",NA,19,25,17,12,24,11,16,15,19,27,11,22,17,11,19,22,24,12,10,17
"27",NA,18,26,26,20,22,17,21,15,19,27,14,25,25,18,24,20,36,9,19,27
"28",NA,29,25,22,13,26,16,17,24,20,27,13,25,22,15,19,23,24,14,18,25
"29",NA,24,34,21,15,29,20,19,27,29,27,17,23,28,16,26,27,31,17,18,32
"30",NA,28,26,24,20,20,33,22,22,31,34,19,24,28,13,27,38,29,15,23,30
"31",NA,31,32,23,14,34,32,24,21,36,33,16,26,27,24,30,23,36,16,27,23
"32",NA,30,35,24,26,32,28,24,29,28,38,19,31,38,19,29,40,37,20,27,29
"33",NA,31,31,26,16,45,32,24,29,34,34,19,35,35,19,30,33,37,20,20,28
"34",NA,38,37,27,28,42,35,30,29,35,39,25,29,39,19,27,36,33,23,26,25
"35",NA,37,41,27,26,42,39,30,30,43,43,26,36,41,17,34,35,44,27,30,37
"36",NA,44,39,28,30,39,43,31,34,39,46,28,38,36,21,41,45,38,25,32,41
"37",NA,30,36,32,27,39,38,32,30,39,37,27,35,37,20,40,39,40,28,33,42
"38",NA,36,47,25,25,37,38,27,31,39,35,28,38,41,23,36,35,44,30,36,39
"39",NA,32,41,28,24,41,44,27,33,33,44,28,39,41,26,37,46,44,22,30,41
"40",NA,32,46,28,31,37,35,31,32,45,42,25,39,38,27,29,46,40,24,25,39
"41",NA,26,38,30,29,43,36,31,31,39,42,25,37,37,26,32,40,39,26,31,33
"42",NA,40,39,30,29,40,38,29,26,33,39,20,36,42,23,33,32,43,31,33,38
"43",NA,30,45,27,23,37,33,26,38,37,42,25,36,38,28,35,46,40,29,35,40
"44",NA,41,40,31,30,34,31,29,28,32,43,25,43,40,25,34,33,47,26,27,39
"45",NA,40,33,26,26,40,41,30,28,44,44,25,35,39,23,34,38,41,29,29,36
"46",NA,30,36,26,24,40,32,28,29,37,49,24,29,42,30,34,35,45,31,28,40
"47",NA,31,39,30,29,38,32,29,28,41,40,26,41,43,23,31,34,45,27,28,30
"48",NA,34,41,26,31,37,27,26,31,36,43,26,49,36,24,37,38,38,25,28,36
"49",NA,35,37,26,23,37,31,30,30,34,39,29,34,33,26,32,34,34,32,31,29
"50",NA,29,31,24,23,36,32,30,28,36,37,23,40,34,23,30,45,43,30,30,36
"51",NA,32,37,24,29,32,33,25,23,37,32,27,35,31,24,34,28,36,27,30,32
"52",NA,30,33,23,24,34,34,26,28,33,40,27,39,35,30,30,37,38,30,23,32
"53",NA,39,30,24,24,36,32,21,24,32,36,29,35,31,29,32,39,40,28,27,34
"54",NA,34,39,23,32,36,37,28,26,35,40,34,41,43,29,33,35,41,29,30,39
"55",NA,36,36,27,29,37,30,25,29,37,41,24,41,34,28,32,32,38,31,28,36
"56",NA,32,42,26,31,40,33,21,32,32,43,29,39,39,25,36,34,36,28,31,42
"57",NA,38,36,26,28,39,38,22,30,32,38,32,40,40,27,35,42,36,30,25,38
"58",NA,35,37,30,32,35,34,23,34,37,39,33,36,39,33,31,33,42,32,29,40
"59",NA,35,41,30,27,36,34,28,29,37,44,35,43,40,27,31,37,42,35,28,39
"60",NA,42,41,27,31,41,37,33,30,34,45,30,44,41,32,30,35,41,34,32,48
"61",NA,38,45,27,30,39,39,30,35,34,47,37,45,39,29,33,38,41,35,29,40
"62",NA,36,40,28,31,38,40,35,31,41,46,37,44,47,25,41,38,42,34,32,41
"63",NA,45,43,28,35,39,37,29,35,36,48,34,45,49,30,37,43,47,42,34,45
"64",NA,42,39,28,30,41,38,32,37,41,47,35,43,45,37,40,39,44,43,34,42
"65",NA,51,44,33,35,42,40,33,37,41,50,38,44,43,40,38,37,47,45,37,42
"66",NA,49,46,27,36,36,33,31,39,38,47,36,44,48,39,39,43,50,44,37,40
"67",NA,48,42,36,34,43,43,29,35,41,53,42,50,52,37,41,40,52,37,38,45
"68",NA,43,45,36,37,42,37,32,39,44,50,39,47,52,44,42,41,46,40,39,48
"69",NA,37,34,25,34,33,29,31,32,33,38,28,35,38,28,41,38,39,35,32,39
"70",NA,36,34,25,20,28,33,22,24,27,35,24,32,31,17,26,28,34,31,25,23
"71",NA,26,22,19,20,23,31,15,16,23,26,25,25,29,17,26,32,31,28,24,21
"72",NA,25,19,12,21,29,34,18,17,23,27,19,24,26,16,21,20,18,21,15,25
"73",NA,20,20,13,11,21,15,15,20,15,16,14,16,21,16,21,16,26,13,13,18
"74",NA,16,19,11,15,18,15,14,17,14,13,13,23,20,14,10,20,17,13,15,10
"75",NA,19,20,12,9,17,11,10,14,20,22,11,17,18,14,15,13,15,11,11,11
"76",NA,13,18,11,10,18,13,5,12,16,20,8,11,18,11,12,13,18,6,9,15
"77",NA,6,11,7,6,11,14,7,5,12,16,12,10,14,10,13,11,13,11,11,16
"78",NA,17,6,10,9,8,13,11,12,12,14,5,13,8,7,9,11,15,7,12,12
"79",NA,7,17,7,5,7,11,7,11,9,10,6,8,12,1,9,10,11,7,7,6
"80",NA,10,17,7,3,13,8,5,8,16,12,8,14,10,4,9,4,8,13,5,5
"81",NA,3,8,4,7,9,10,9,9,7,10,3,9,11,2,10,5,11,2,4,6
"82",NA,7,6,6,4,8,9,8,8,8,9,5,11,10,7,7,2,7,2,8,5
"83",NA,7,7,3,2,8,6,5,4,5,6,7,9,7,5,7,13,4,10,5,4
"84",NA,1,2,4,6,7,4,8,8,4,9,2,6,6,8,6,6,6,5,2,4
"85",NA,7,8,4,3,5,6,8,2,2,4,3,2,8,0,7,3,8,4,5,4
"86",NA,2,6,2,7,2,4,5,4,2,0,4,3,4,3,8,4,7,3,4,7
"87",NA,2,5,4,7,6,7,1,8,5,5,3,5,4,4,5,7,8,5,3,3
"88",NA,10,4,1,5,5,5,5,3,8,7,4,6,4,4,6,4,4,2,1,5
"89",NA,3,5,4,5,3,0,3,4,4,4,3,4,5,5,4,5,7,2,1,7
"90",NA,2,5,1,7,5,4,1,2,2,7,2,3,6,1,3,5,4,3,3,4
"91",NA,2,2,1,3,3,4,2,2,2,4,0,5,4,2,5,3,3,2,4,4
"92",NA,4,3,1,1,5,3,2,3,3,2,2,3,7,6,3,2,2,2,2,5
"93",NA,3,2,3,2,2,6,1,4,1,8,2,4,4,1,3,4,5,3,3,6
"94",NA,4,2,2,2,1,3,6,1,4,3,4,1,2,3,4,7,2,1,3,3
"95",NA,6,2,4,1,3,4,2,3,4,2,7,3,2,3,2,3,1,5,2,2
"96",NA,2,4,2,4,2,0,1,0,3,3,1,0,3,4,4,1,5,1,3,1
"97",NA,3,5,0,2,2,4,2,2,1,2,1,1,5,2,5,2,2,5,1,6
"98",NA,3,1,0,1,3,0,2,0,2,6,1,5,3,2,4,2,5,0,2,3
"99",NA,4,2,1,1,3,3,4,2,1,1,1,2,4,3,1,4,3,5,3,3
"100",NA,1,3,1,4,3,3,1,2,4,4,0,4,3,3,3,3,1,0,2,4
"101",NA,2,1,1,3,0,2,1,2,4,6,2,2,3,1,2,4,3,0,1,0
"102",NA,4,2,0,4,1,2,1,2,2,2,2,2,5,1,0,4,2,3,5,4
"103",NA,2,1,2,1,1,0,2,3,1,2,1,3,2,4,2,2,3,3,2,2
"104",NA,1,3,2,2,3,0,2,3,5,4,3,2,3,3,5,1,1,3,1,2
"105",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
