"","NA.","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)"
"44",NA,97,95,91,95,91,93,94,94,91,93,93,94,94,92,96,92,95,96,93,91
"45",NA,96,97,97,94,92,95,92,97,94,92,94,96,95,98,93,94,95,96,91,95
"46",NA,96,96,94,97,97,95,98,93,93,95,98,96,98,94,97,93,97,95,95,99
"47",NA,97,97,98,95,99,97,98,95,96,96,98,98,100,99,96,95,97,97,98,97
"48",NA,95,97,97,98,95,98,98,99,96,95,100,98,97,98,98,95,96,97,97,98
"49",NA,96,98,100,97,99,98,99,97,96,97,100,99,99,98,96,96,96,99,95,97
"50",NA,99,95,96,99,97,99,98,98,99,100,99,97,98,98,98,100,98,98,96,100
"51",NA,98,100,98,98,97,98,98,97,100,99,99,100,99,99,99,99,100,98,98,100
"52",NA,100,100,98,99,97,100,99,97,100,98,97,100,100,97,99,98,98,99,98,98
"53",NA,99,99,99,100,98,100,100,99,99,99,100,100,100,98,99,100,99,100,100,99
"54",NA,100,100,100,100,99,100,100,99,98,99,99,100,100,99,99,97,100,100,100,99
"55",NA,99,100,100,100,100,99,100,99,99,99,100,100,100,100,99,100,100,100,99,99
"56",NA,100,100,100,99,100,100,100,100,99,99,100,100,100,99,100,100,100,100,100,100
"57",NA,99,100,100,99,99,99,100,99,100,100,99,100,100,99,100,100,100,100,99,99
"58",NA,100,100,100,100,100,100,100,99,99,100,100,100,100,99,100,100,100,100,100,100
"59",NA,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"60",NA,99,100,100,100,100,100,100,100,99,100,100,100,100,99,100,100,100,100,100,100
"61",NA,66,68,64,64,61,63,72,69,62,78,66,68,71,67,67,74,63,72,66,73
"62",NA,57,56,54,56,51,52,54,55,47,52,40,54,56,55,52,50,54,39,57,54
"63",NA,44,50,39,35,50,55,42,47,44,39,45,48,41,39,44,41,53,47,45,46
"64",NA,31,39,35,39,45,37,34,30,36,42,41,42,34,40,31,42,32,31,32,35
"65",NA,38,30,38,37,33,35,33,28,31,38,35,34,27,38,36,30,26,42,35,36
"66",NA,24,26,28,29,28,26,24,28,29,30,36,27,23,30,21,30,36,21,23,29
"67",NA,24,25,15,19,26,23,30,27,31,22,20,26,23,35,31,28,27,29,31,32
