"","NA.","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H"
"25",NA,1,0,2,0,1,0,0,0,1,0,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,2,1,1,1,2,1,1,1,1,0,2,1,1,1,1,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0,0,1,1,1,1,1,2,1,1,1,0,1,1,0,1,1,1,0,0,1,1,2,1,2,2,2,0,1,2,0,1,1,1,1,1,2,1
"26",NA,1,1,2,1,1,1,1,1,0,0,0,2,1,1,1,0,0,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,2,1,0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,2,1,1,2,1,1,1,2,1,2,0,2,1,1,1,0,1,1,1,1,1
"27",NA,2,2,2,1,1,1,1,1,1,0,1,2,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,1,2
"28",NA,1,0,2,1,1,1,1,1,1,0,1,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,2,2,0,0,1,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,2,1,1,2,1,1,2,2,1,1
"29",NA,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0,1,1,1,2,0,1,0,2,1,2,1,2,1,1,1,2,1,1,2,1,0,1,2,0,1,1,2,1,1,2,0,1,1,2,1,1,1,1,1,0,2,1,1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,0,1,2,2,1,2
"30",NA,2,0,2,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,0,2,1,1,1,2,1,2,2,1,1
"31",NA,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,0,1,2,1,1,1,2,1,1,1,1,1,1,0,1,1,2,2,1,0,1,1,1,1,1,1,0,1,2,1,1,1,2,1,2,2,2,1,1,1,2,0,1,1,1,1,3,1,1
"32",NA,1,1,2,0,1,1,0,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,2,0,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,3,1,1,1,2,1,1,1,1,2,2,1,2
"33",NA,1,1,2,1,1,1,0,1,2,1,1,2,1,1,2,1,1,1,0,1,2,1,2,1,2,0,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,0,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2
"34",NA,1,1,2,1,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,1,2
"35",NA,1,2,2,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,0,1,1,1,1,2,1,1,1,1,1,0,1,2,0,1,2,0,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,0,2,2,1,1,1,1,1,1,1,1
"36",NA,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,2,0,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,0,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,0,1,0,1,1,1
"37",NA,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,0,1,2,1,1,1,2,0,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,3,1,1,0,1,1,1,1,1
"38",NA,2,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,2,1,1,1,0,0,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1
"39",NA,1,1,2,2,1,1,1,0,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,0,2,1,0,1,2,0,1,2,1,1,0,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,2,1
"40",NA,0,1,2,2,2,2,0,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,0,1,1,2,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,0,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,0,1,1,1,1,2
