"","NA.","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]"
"53",NA,479,439,435,434,434,433,433,431,432,430
"54",NA,413,376,374,372,372,371,371,369,370,369
"55",NA,349,314,312,311,311,310,310,309,309,309
"56",NA,288,257,256,255,255,254,254,253,253,253
"57",NA,234,207,206,206,206,205,205,204,204,204
"58",NA,187,164,164,164,163,163,163,162,162,162
"59",NA,147,128,128,127,127,127,127,126,126,126
"60",NA,113,98,98,97,97,97,97,97,97,97
"61",NA,84,74,73,73,73,73,73,73,73,73
"62",NA,61,54,54,54,54,54,54,54,54,54
"63",NA,44,40,40,40,40,40,40,40,40,40
"64",NA,31,28,28,28,28,28,28,28,28,28
"65",NA,21,20,20,20,20,20,20,20,20,20
"66",NA,14,13,13,13,13,13,13,13,13,13
"67",NA,9,8,8,8,8,8,8,8,8,8
"68",NA,5,5,5,5,5,5,5,5,5,5
"69",NA,3,3,3,3,3,3,3,3,3,3
"70",NA,1,1,1,1,1,1,1,1,1,1
"71",NA,0,0,0,0,0,0,0,0,0,0
"72",NA,0,0,0,0,0,0,0,0,0,0
"73",NA,0,0,0,0,0,0,0,0,0,0
"74",NA,0,0,0,0,0,0,0,0,0,0
"75",NA,0,0,0,0,0,0,0,0,0,0
"76",NA,0,0,0,0,0,0,0,0,0,0
"77",NA,0,0,0,0,0,0,0,0,0,0
"78",NA,0,0,0,0,0,0,0,0,0,0
"79",NA,0,0,0,0,0,0,0,0,0,0
"80",NA,0,0,0,0,0,0,0,0,0,0
"81",NA,0,0,0,0,0,0,0,0,0,0
"82",NA,0,0,0,0,0,0,0,0,0,0
"83",NA,0,0,0,0,0,0,0,0,0,0
"84",NA,0,0,0,0,0,0,0,0,0,0
"85",NA,0,0,0,0,0,0,0,0,0,0
"86",NA,0,0,0,0,0,0,0,0,0,0
"87",NA,0,0,0,0,0,0,0,0,0,0
"88",NA,0,0,0,0,0,0,0,0,0,0
"89",NA,0,0,0,0,0,0,0,0,0,0
"90",NA,0,0,0,0,0,0,0,0,0,0
"91",NA,0,0,0,0,0,0,0,0,0,0
"92",NA,0,0,0,0,0,0,0,0,0,0
"93",NA,0,0,0,0,0,0,0,0,0,0
"94",NA,0,0,0,0,0,0,0,0,0,0
"95",NA,0,0,0,0,0,0,0,0,0,0
"96",NA,0,0,0,0,0,0,0,0,0,0
"97",NA,0,0,0,0,0,0,0,0,0,0
"98",NA,0,0,0,0,0,0,0,0,0,0
"99",NA,0,0,0,0,0,0,0,0,0,0
"100",NA,0,0,0,0,0,0,0,0,0,0
"101",NA,0,0,0,0,0,0,0,0,0,0
"102",NA,0,0,0,0,0,0,0,0,0,0
"103",NA,0,0,0,0,0,0,0,0,0,0
"104",NA,0,0,0,0,0,0,0,0,0,0
"105",NA,0,0,0,0,0,0,0,0,0,0
